mCA,GRID,male lower s,male upper s,male lower mu,male upper mu,female lower s,female upper s,female lower mu,female upper mu
1p+,50,-,-,-,-,0.1,0.5,6.00E-12,1.00E-08
1q+,50,-,-,-,-,0.1,0.5,3.00E-12,1.00E-09
3+,50,0.08,0.5,4.00E-12,4.00E-09,0.02,0.5,1.00E-12,6.00E-08
5+,50,0.05,0.5,1.00E-11,3.00E-07,-,-,-,-
5p+,50,0.06,0.2,7.00E-11,4.00E-08,0.085,0.5,3.00E-12,7.00E-09
8+,50,0.11,0.5,1.00E-11,2.00E-09,0.11,0.4,2.00E-11,3.00E-09
9+,50,0.1,0.5,2.00E-11,3.00E-09,0.05,0.5,1.00E-11,1.30E-09
9q+,50,-,-,-,-,0.08,0.5,6.00E-12,2.00E-09
12+,50,0.11,0.17,1.00E-09,1.00E-08,0.11,0.16,1.00E-09,5.00E-09
12q+,50,-,-,-,-,0.1,0.5,3.00E-12,2.00E-09
14q+,50,0.13,0.175,6.00E-10,8.00E-09,0.11,0.165,4.00E-10,4.00E-09
15q+,50,0.105,0.135,3.00E-09,1.30E-08,0.1225,0.18,9.00E-11,2.00E-09
18+,50,0.09,0.21,5.00E-11,2.00E-09,0.115,0.22,5.00E-11,1.30E-09
21q+,50,0.1,0.14,1.00E-09,7.00E-09,0.065,0.12,1.00E-09,2.00E-07
22q+,50,0.085,0.125,1.00E-09,3.00E-08,0.1,0.1325,1.00E-09,1.60E-08
1q-,50,0.1,0.5,5.00E-11,8.00E-09,-,-,-,-
2p-,50,0.12,0.5,2.30E-10,1.00E-08,0.12,0.5,4.00E-10,1.30E-08
2q-,50,0.1,0.5,7.00E-11,3.00E-09,0.1,0.5,7.00E-11,3.00E-09
3p-,50,0.125,0.5,4.00E-11,2.00E-09,0.125,0.5,4.00E-11,2.00E-09
3q-,50,-,-,-,-,0.1,0.5,2.00E-11,7.00E-09
4q-,50,0.1,0.5,2.00E-10,6.00E-09,0.1,0.5,2.00E-10,6.00E-09
5q-,50,0.1,0.5,1.00E-10,2.00E-09,0.12,0.16,8.00E-10,7.00E-09
6p-,50,-,-,-,-,0.1,0.5,3.00E-11,2.00E-09
6q-,50,0.08,0.5,6.00E-11,2.30E-09,0.08,0.5,2.30E-11,3.00E-09
7p-,50,-,-,-,-,0.1,0.5,5.00E-11,2.00E-09
7q-,50,0.1,0.5,1.00E-10,3.00E-09,0.1,0.25,1.00E-10,3.00E-09
8p-,50,0.1,0.5,3.00E-11,2.00E-09,-,-,-,-
9q-,50,0.1,0.5,1.00E-11,1.00E-09,0.1,0.5,5.00E-11,4.00E-09
10q-,50,0.1,0.145,6.00E-10,7.00E-09,0.105,0.1225,4.00E-09,1.70E-08
11q-,50,0.11,0.15,1.30E-09,1.00E-08,0.1,0.15,6.00E-10,6.00E-09
11p-,50,0.1,0.5,6.00E-11,6.00E-09,0.1,0.5,3.00E-11,3.00E-09
12q-,50,0.1,0.5,3.00E-11,3.50E-09,0.1,0.5,4.00E-11,7.00E-09
13q-,50,0.1,0.5,6.00E-10,1.30E-08,0.1,0.5,7.00E-10,7.00E-09
14q-,50,0.1,0.5,1.30E-10,5.00E-09,0.1,0.5,1.30E-10,2.20E-09
16p-,50,0.1,0.5,2.00E-10,1.00E-08,0.1,0.5,5.00E-10,2.00E-08
16q-,50,0.1,0.5,8.00E-11,1.30E-09,0.1,0.5,1.00E-11,2.30E-09
17q-,50,0.1,0.5,8.00E-11,3.00E-08,0.1,0.5,1.00E-10,3.00E-08
20q-,50,0.13,0.18,3.00E-09,2.00E-08,0.125,0.17,1.00E-09,1.20E-08
21q-,50,-,-,-,-,0.1,0.5,2.00E-11,2.00E-09
22q-,50,0.1,0.5,1.30E-10,4.00E-09,0.1,0.5,1.30E-10,4.00E-09
1p=,50,0.11,0.1325,3.00E-09,9.00E-09,0.1175,0.14,3.00E-09,8.00E-09
1q=,50,0.105,0.125,3.00E-09,9.00E-09,0.105,0.125,3.00E-09,7.30E-09
1=,50,0.07,0.16,9.00E-11,5.00E-09,0.1,0.17,9.00E-11,2.00E-09
2q=,50,0.1,0.14,6.00E-10,5.00E-09,0.09,0.13,8.00E-10,5.00E-09
2p=,50,0.1,0.18,2.00E-10,3.00E-09,0.08,0.14,4.00E-10,4.00E-09
3p=,50,0.085,0.135,6.00E-10,4.00E-09,0.08,0.125,6.00E-10,5.00E-09
3q=,50,0.09,0.14,4.00E-10,8.00E-09,0.09,0.145,2.00E-10,4.00E-09
4=,50,0.07,0.5,7.00E-12,9.00E-09,-,-,-,-
4q=,50,0.135,0.5,3.30E-10,2.00E-09,0.09,0.19,4.00E-10,2.00E-09
4p=,50,0.09,0.5,6.00E-11,3.00E-09,0.08,0.5,6.00E-11,3.00E-09
5q=,50,0.11,0.18,3.00E-10,3.00E-09,0.095,0.14,5.00E-10,5.00E-09
6p=,50,0.105,0.13,1.30E-09,6.00E-09,0.105,0.13,1.30E-09,6.00E-09
6q=,50,0.095,0.3,5.00E-11,4.00E-09,0.075,0.145,2.00E-10,1.00E-08
7q=,50,0.1,0.17,2.00E-10,3.00E-09,0.1,0.14,4.00E-10,4.00E-09
7p=,50,0.1,0.5,5.00E-11,1.30E-09,0.09,0.18,1.00E-10,2.30E-09
8q=,50,0.1,0.17,3.00E-10,5.00E-09,0.09,0.16,2.00E-10,4.00E-09
8p=,50,0.1,0.5,2.00E-11,1.00E-09,0.1,0.5,4.00E-11,1.00E-09
9q=,50,0.105,0.14,1.30E-09,5.00E-09,0.12,0.16,1.30E-09,5.00E-09
9p=,50,0.13,0.23,1.00E-09,5.00E-09,0.115,0.17,1.00E-09,5.00E-09
9=,50,0.08,0.17,1.00E-10,4.00E-09,0.06,0.13,3.00E-10,1.00E-08
10q=,50,0.09,0.2,1.00E-10,2.50E-09,0.105,0.17,3.00E-10,2.50E-09
10p=,50,0.07,0.5,4.00E-11,5.00E-09,0.07,0.5,2.00E-11,3.00E-09
11=,50,0.07,0.5,7.00E-12,5.00E-09,-,-,-,-
11p=,50,0.12,0.155,2.30E-09,7.00E-09,0.12,0.1475,2.30E-09,7.00E-09
11q=,50,0.115,0.14,2.00E-09,8.00E-09,0.115,0.14,1.30E-09,5.30E-09
12q=,50,0.115,0.155,7.00E-10,3.30E-09,0.095,0.135,1.00E-09,4.30E-09
12p=,50,0.05,0.5,1.00E-11,3.00E-08,0.1,0.5,6.00E-11,3.00E-09
13q=,50,0.115,0.145,2.00E-09,8.00E-09,0.1225,0.155,1.00E-09,6.00E-09
14q=,50,0.115,0.135,4.00E-09,1.30E-08,0.115,0.135,3.00E-09,8.00E-09
15q=,50,0.1025,0.135,2.00E-09,8.00E-09,0.09,0.115,3.00E-09,1.30E-08
16p=,50,0.1,0.13,1.30E-09,1.00E-08,0.11,0.15,1.00E-09,5.00E-09
16q=,50,0.1,0.13,1.00E-09,5.00E-09,0.1,0.13,1.00E-09,5.00E-09
16=,50,0.065,0.3,2.00E-11,6.00E-09,0.08,0.2,7.00E-11,5.00E-09
17q=,50,0.105,0.135,2.00E-09,7.00E-09,0.115,0.14,1.30E-09,5.00E-09
17p=,50,0.11,0.25,1.00E-10,3.00E-09,0.11,0.25,1.00E-10,3.00E-09
18p=,50,0.07,0.5,7.00E-12,1.20E-08,-,-,-,-
18q=,50,0.085,0.22,7.00E-11,4.00E-09,0.1,0.18,2.00E-10,5.00E-09
19q=,50,0.11,0.17,8.00E-10,5.00E-09,0.1,0.14,8.00E-10,5.00E-09
19p=,50,0.1,0.145,7.00E-10,7.00E-09,0.1,0.13,1.00E-09,7.00E-09
20q=,50,0.11,0.16,5.00E-10,3.00E-09,0.105,0.145,7.00E-10,4.00E-09
20p=,50,0.09,0.5,4.00E-11,3.00E-09,0.09,0.25,6.00E-11,5.00E-09
21q=,50,0.09,0.14,8.00E-10,1.00E-08,0.105,0.145,6.00E-10,4.00E-09
22q=,50,0.1175,0.165,1.00E-09,5.00E-09,0.13,0.18,1.00E-09,5.00E-09